county,hospital beds
LUBBOCK,525
LUBBOCK,412
LUBBOCK,196
LUBBOCK,56
LUBBOCK,123
LUBBOCK,40
LUBBOCK,74
LUBBOCK,-999
LYNN,24
MADISON,25
MARTIN,18
MATAGORDA,17
MATAGORDA,58
MAVERICK,101
MCCULLOCH,25
MCLENNAN,237
MCLENNAN,236
MCLENNAN,48
MCLENNAN,146
MEDINA,25
MIDLAND,48
MIDLAND,64
MIDLAND,468
MIDLAND,60
MIDLAND,29
MILAM,25
MILAM,10
MITCHELL,25
MONTAGUE,38
MONTAGUE,49
MONTGOMERY,351
MONTGOMERY,322
MONTGOMERY,21
MONTGOMERY,100
MONTGOMERY,139
MONTGOMERY,60
MONTGOMERY,30
MONTGOMERY,227
MONTGOMERY,30
MONTGOMERY,54
MONTGOMERY,60
MONTGOMERY,5
MONTGOMERY,6
MONTGOMERY,41
MONTGOMERY,84
MOORE,25
NACOGDOCHES,153
NACOGDOCHES,216
NACOGDOCHES,21
NAVARRO,162
NOLAN,85
NUECES,189
NUECES,33
NUECES,89
NUECES,341
NUECES,152
NUECES,74
NUECES,250
NUECES,72
NUECES,22
NUECES,557
NUECES,68
NUECES,189
NUECES,153
NUECES,35
NUECES,19
OCHILTREE,25
ORANGE,40
PALO PINTO,74
PANOLA,49
PARKER,99
PARKER,26
PARMER,25
PECOS,14
PECOS,27
POLK,66
POTTER,106
POTTER,20
POTTER,21
POTTER,385
POTTER,47
POTTER,72
POTTER,55
POTTER,451
POTTER,44
RANDALL,4
REAGAN,7
REEVES,25
REFUGIO,20
ROCKWALL,112
ROCKWALL,50
ROCKWALL,8
RUNNELS,25
RUNNELS,25
RUSK,96
SABINE,25
SAN AUGUSTINE,18
SAN PATRICIO,75
SCHLEICHER,14
SCURRY,25
SMITH,75
SMITH,74
SMITH,474
SMITH,427
SMITH,123
SMITH,49
SMITH,8
SMITH,36
SMITH,51
SMITH,20
SOMERVELL,16
STARR,48
STEPHENS,40
STONEWALL,20
SUTTON,12
SWISHER,20
TARRANT,430
TARRANT,342
TARRANT,36
TARRANT,34
TARRANT,74
TARRANT,55
TARRANT,60
TARRANT,62
TARRANT,34
TARRANT,24
TARRANT,726
TARRANT,567
TARRANT,572
TARRANT,356
TARRANT,314
TARRANT,254
TARRANT,80
TARRANT,67
TARRANT,44
TARRANT,55
TARRANT,72
TARRANT,36
TARRANT,48
TARRANT,42
TARRANT,48
TARRANT,12
TARRANT,320
TARRANT,10
TARRANT,8
TARRANT,8
TARRANT,15
TARRANT,8
TARRANT,8
TARRANT,24
TARRANT,369
TARRANT,222
TARRANT,16
TARRANT,8
TARRANT,122
TARRANT,70
TARRANT,8
TARRANT,176
TARRANT,80
TARRANT,3
TARRANT,246
TARRANT,41
TARRANT,23
TARRANT,54
TARRANT,68
TARRANT,60
TARRANT,54
TARRANT,116
TARRANT,85
TARRANT,60
TARRANT,66
TARRANT,40
TARRANT,30
TAYLOR,522
TAYLOR,46
TAYLOR,231
TAYLOR,30
TAYLOR,35
TERRY,45
THROCKMORTON,14
TITUS,164
TOM GREEN,295
TOM GREEN,131
TOM GREEN,80
TOM GREEN,108
TRAVIS,248
TRAVIS,350
TRAVIS,378
TRAVIS,106
TRAVIS,80
TRAVIS,8
TRAVIS,36
TRAVIS,-999
TRAVIS,147
TRAVIS,58
TRAVIS,90
TRAVIS,64
TRAVIS,83
TRAVIS,51
TRAVIS,25
TRAVIS,195
TRAVIS,47
TRAVIS,23
TRAVIS,60
TRAVIS,530
TRAVIS,314
TRAVIS,60
TRAVIS,103
TRAVIS,339
TRAVIS,300
TRAVIS,58
TRAVIS,124
TRAVIS,33
TRAVIS,19
TRAVIS,4
TRINITY,45
TYLER,49
UPTON,15
UPTON,15
UPTON,14
UVALDE,25
VAL VERDE,3
VAL VERDE,93
VAN ZANDT,52
VICTORIA,26
VICTORIA,26
VICTORIA,344
VICTORIA,189
VICTORIA,23
VICTORIA,115
WALKER,123
WARD,25
WASHINGTON,60
WEBB,12
WEBB,326
WEBB,40
WEBB,-999
WEBB,20
WEBB,180
WHARTON,161
WHARTON,49
WHEELER,16
WHEELER,25
WICHITA,63
WICHITA,41
WICHITA,325
WICHITA,25
WICHITA,312
WICHITA,31
WICHITA,74
WILBARGER,47
WILBARGER,640
WILLIAMSON,101
WILLIAMSON,8
WILLIAMSON,111
WILLIAMSON,118
WILLIAMSON,149
WILLIAMSON,173
WILLIAMSON,25
WILLIAMSON,75
WILLIAMSON,46
WILLIAMSON,54
WILLIAMSON,77
WILLIAMSON,72
WILSON,44
WINKLER,19
WISE,99
WISE,36
WISE,49
WOOD,25
WOOD,25
YOAKUM,24
YOUNG,42
YOUNG,25
