County,Votes,Percent_Voted,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Gini.Coefficient,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.obesity,Diabetes,Sexually.transmitted.infections,Uninsured,Violent.crime,Injury.deaths,CA,S,MAR,CFS,ACFS,Mean Alc,Max Alc,Mixedness
Rockwall,39529,0.523043334,71.83586734,24.36945028,0.523666169,3.271016216,48.3,0.393,42.65,13.05,27.25,0.25,9.15,7.65,0.08,22.4,0.195,0.277,0.086,174.7,0.183,145.14,37.2,1.27407214,1.207644887,0.615943001,-0.000167751,0.000167751,0.000236188,0.00061615,0.582390949
Runnels,3765,0.360701284,86.08233732,12.00531209,0.345285525,1.567065073,24,0.441,27.2,18.15,24.7,3.2,10.85,15.95,0.11,65.2,0.457,0.326,0.111,342.1,0.262,200.75,59.1,0.686230063,-1.176661628,0.554752044,2.06225E-06,2.06225E-06,9.61967E-05,0.000387056,-0.639927355
Rusk,18994,0.373258396,77.26124039,20.71706855,0.268505844,1.753185216,48.6,0.462,25.35,16.1,23.95,1.15,15.05,18.4,0.09,66.1,0.334,0.352,0.114,264.1,0.266,330.79,81.9,0.365903484,-0.642003835,0.565308384,2.22245E-05,2.22245E-05,3.92188E-05,0.000120301,-0.65417651
Sabine,4642,0.441884817,85.99741491,13.2270573,0.193881947,0.581645842,36,0.429,25.2,20.3,16.6,3.7,16.25,17.95,0.07,66.1,0.382,0.32,0.134,260.7,0.241,207.87,125.8,-0.133621712,-1.300110035,0.772898949,-3.57782E-05,3.57782E-05,0.000164937,0.000522595,-0.034446057
San Augustine,3563,0.405854881,73.53353915,25.45607634,0.168397418,0.84198709,60,0.503,23.5,17.9,19.7,3.05,14.85,21.05,0.1,79.1,0.514,0.291,0.136,428.2,0.264,302.33,117.7,-0.353864653,-2.025516589,0.677827172,-0.000131247,0.000131247,0.000247003,0.000721323,0.504525758
San Jacinto,10305,0.4038959,78.11741873,19.73799127,0.504609413,1.639980592,29.9,0.44,24.85,17.95,23.6,0.65,16.5,16.45,0.09,59,0.329,0.304,0.121,130.6,0.286,329.86,107.6,-0.736976639,-1.097948718,0.511077582,-2.16489E-05,2.16489E-05,9.10996E-05,0.000381118,-0.610090144
San Patricio,21513,0.323027719,60.44717148,36.37335565,0.525263794,2.654209083,43.7,0.436,28.45,20.5,23,1.15,13.45,13.45,0.09,74.1,0.356,0.292,0.108,482,0.231,290.12,53.8,-0.21090943,-0.660114766,0.529320324,3.60814E-05,3.60814E-05,4.67681E-05,0.000214455,-0.614475883
San Saba,2354,0.391224863,86.02378929,12.4468989,0.169923534,1.359388275,31.4,0.471,27.7,16.35,19.75,3.9,10.15,22.2,0.07,57.8,0.449,0.299,0.107,315.5,0.302,191.84,109.7,-0.438610815,-1.349447801,0.899881816,4.1029E-05,4.1029E-05,0.00016549,0.000576368,0.15718183
Schleicher,1054,0.333438785,77.70398482,19.82922201,0.189753321,2.277039848,36.5,0.401,39.35,15.1,12.2,2.15,19.7,11.45,0.08,64.1,0.442,0.298,0.097,181.3,0.277,20.39,,0.004200105,-0.4856148,0.991074253,8.12208E-05,8.12208E-05,7.78072E-05,0.000290242,0.277904301
Scurry,5261,0.319681594,83.69131344,13.93271241,0.41817145,1.957802699,46.2,0.501,29.5,14.35,19.7,0.6,20.7,15.25,0.11,92.5,0.338,0.295,0.09,413.7,0.247,693.78,71.2,-0.278910065,-0.818308323,0.960188476,9.97774E-05,9.97774E-05,0.000124351,0.000537237,0.435658643
Shackelford,1502,0.464871557,91.74434088,6.857523302,0,1.398135819,47.1,0.423,33.1,16.65,18.2,3.6,18.05,10.4,0.11,38.8,0.165,0.314,0.106,211,0.268,60.52,,2.316704042,-0.26422418,0.861748274,8.42796E-05,8.42796E-05,9.01699E-05,0.00030279,0.153883736
Shelby,9072,0.350229703,79.04541446,19.36728395,0.231481481,1.355820106,49.7,0.491,25.7,12.65,20.75,4.35,15.7,20.85,0.1,80.2,0.419,0.336,0.118,302.7,0.303,336.61,114.1,0.271652768,-1.44180828,0.691195594,2.24553E-06,2.24553E-06,0.000176882,0.0007294,-0.280551826
Sherman,933,0.314247221,86.49517685,10.28938907,0.321543408,2.893890675,25.3,0.389,32.25,16.45,14.6,16.65,5.4,14.65,0.07,47.3,0.228,0.296,0.099,,0.341,154.88,,2.105970973,-0.220924755,0.795506839,7.69152E-05,7.69152E-05,0.000108146,0.001057805,0.072037978
Smith,83161,0.408308457,70.5030002,26.60862664,0.408845492,2.479527663,38.7,0.479,31.85,18.25,25.65,0.7,9.35,14.25,0.08,50.9,0.319,0.282,0.104,482.2,0.248,404.63,69.1,0.202633666,-0.321423022,0.443747746,2.20505E-05,2.20505E-05,2.30586E-05,0.000166701,-0.84866313
Somervell,3876,0.477928483,82.71413829,13.93188854,0.593395253,2.760577915,54.8,0.453,40.8,20.15,16.65,0,11.45,11.05,0.08,39.6,0.262,0.284,0.104,142,0.237,75.27,90.3,1.011305204,0.054965723,0.796969978,2.94686E-05,2.94686E-05,6.89928E-05,0.000353753,-0.251330865
Starr,11691,0.191806668,18.97185869,79.08647678,0.581644,1.360020529,44.6,0.519,23.6,27.05,23.1,2.1,13,11.15,0.09,101.2,0.357,0.293,0.09,341.9,0.346,272.31,44.4,-0.357659445,-2.451510161,1.86766699,0.000208818,0.000208818,0.000751359,0.003196694,3.56814952
Stephens,3453,0.361494975,87.83666377,10.07819288,0.20272227,1.882421083,47.9,0.451,22.95,16.7,26.65,1.8,16.75,15.2,0.07,73.1,0.306,0.293,0.108,136.2,0.291,117.03,89.9,0.390579331,-0.708057866,0.83854897,5.72826E-05,5.72826E-05,8.5119E-05,0.00024151,-0.022307961
Sterling,633,0.561170213,86.72985782,11.05845182,0.789889415,1.421800948,44.9,0.459,34.15,16.05,12.25,6.2,17.6,13.75,,57.6,0.217,0.292,0.106,431.8,0.253,112.49,,0.356261797,-0.804603445,1.079765153,0.000142134,0.000142134,0.000171727,0.001059635,0.908646303
Stonewall,701,0.488501742,79.17261056,19.25820257,0.142653352,1.426533524,68.2,0.413,44.3,12.75,18.6,4.15,11.2,9,,36.5,0.156,0.287,0.118,,0.268,180.63,,0.566098604,0.352711393,0.842573304,5.07806E-05,5.07806E-05,0.00014959,0.000748576,0.095909556
Sutton,1415,0.336984996,75.97173145,22.12014134,0.35335689,1.554770318,50.8,0.434,29.3,15.8,18.05,1,17.9,18.05,0.08,67.1,0.184,0.29,0.102,174.7,0.293,134.44,,0.848203375,-0.471129091,0.909530925,0.000102652,0.000102652,0.000104654,0.000505311,0.340080274
Swisher,2190,0.283275126,76.30136986,21.09589041,0.273972603,2.328767123,45.5,0.432,29.6,19.95,18.15,7.5,9.2,15.65,0.13,101.6,0.342,0.282,0.107,512.8,0.268,251.48,71.6,0.625644517,-1.175968298,0.851333008,5.29338E-05,5.29338E-05,0.000112894,0.000497213,0.035179326
Tarrant,662832,0.377254711,52.15243078,43.45007483,0.814836942,3.582657446,41,0.448,34.4,14.6,27.8,0.1,9.85,13.25,0.08,52.7,0.323,0.279,0.092,435.3,0.235,451.84,44.7,0.007972503,0.000668702,0.642475285,2.0557E-05,2.0557E-05,4.95409E-05,0.000254267,-0.5394507
Taylor,45266,0.350774143,73.28237529,22.1954668,0.63623912,3.885918791,36.3,0.449,31.8,20.95,25.85,0.4,10.45,10.55,0.09,59.2,0.339,0.282,0.104,492.6,0.216,430.31,60.1,1.132942761,-0.543107775,0.611891592,2.83293E-05,2.83293E-05,4.02329E-05,0.000130998,-0.561183484
Terrell,437,0.487179487,65.67505721,32.03661327,0,2.288329519,0,0.385,36.5,16.65,19.55,6.35,11.65,9.25,,,0.215,0.283,0.102,416.7,0.295,310.34,,2.267743546,0.117031224,0.934225115,5.34186E-05,5.34186E-05,0.000132861,0.000874695,0.189816716
Terry,1763,0.142154491,73.45433919,24.04991492,0.794100964,1.701644923,31.7,0.547,29.65,17.8,22.8,4.4,11.7,13.65,0.11,99.5,0.28,0.319,0.112,433.9,0.28,193.87,84.8,-1.100842169,-1.761205031,1.083109375,-3.59771E-05,3.59771E-05,0.000264922,0.000633164,0.59319945
Throckmorton,808,0.494189602,88.49009901,10.3960396,0.247524752,0.866336634,0,0.428,23.85,18.65,20.55,11.55,13.65,11.85,,,0.207,0.29,0.118,248.6,0.332,40.25,,0.056671853,-0.4268521,0.824390526,6.67462E-05,6.67462E-05,6.44666E-05,0.000713662,-0.039959991
Titus,9176,0.298678471,69.8016565,27.65911072,0.47951177,2.059721011,40.9,0.418,21.75,15.85,21.15,1.6,11.2,28.4,0.08,86.5,0.318,0.305,0.094,371.2,0.309,262.14,70.4,0.425338401,-0.799324175,0.750084361,7.11924E-05,7.11924E-05,7.18396E-05,0.000405909,-0.097183706
