County,Votes,Percent_Voted,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Gini.Coefficient,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.obesity,Diabetes,Sexually.transmitted.infections,Uninsured,Violent.crime,Injury.deaths,CA,S,MAR,CFS,ACFS,Mean Alc,Max Alc,Mixedness
Goliad,3713,0.522369162,70.50902235,26.20522489,0.565580393,2.720172367,74.5,0.456,25.45,24.3,20.4,2.25,14.7,12.85,0.09,43.3,0.324,0.304,0.116,262.3,0.21,197.69,58.7,0.277925527,-0.273297907,0.629719603,2.61637E-05,2.61637E-05,3.31462E-05,0.00029348,-0.564940375
Gonzales,6304,0.320683691,72.65228426,24.8572335,0.444162437,2.046319797,43.6,0.449,26.8,15.55,21.55,8.3,9.3,18.5,0.09,86.7,0.377,0.322,0.112,482.3,0.31,578.78,89.7,-0.485674769,-1.56461651,0.769433622,-2.98745E-05,2.98745E-05,0.000148419,0.000768677,-0.10567734
Gray,7360,0.332085007,88.24728261,9.497282609,0.298913043,1.956521739,43.8,0.469,22.95,17.3,25,2.6,15.85,16.4,0.09,76.4,0.263,0.304,0.123,303.2,0.282,545.88,95.1,0.059503731,-0.982334298,0.882850467,4.94268E-05,4.94268E-05,9.69228E-05,0.000428993,0.022374384
Grayson,47068,0.394220864,74.94263619,21.83224271,0.558766041,2.666355061,40.7,0.424,30.2,17.8,26.2,0.75,10.6,14.5,0.08,57.8,0.37,0.27,0.102,327,0.243,279.57,75.3,0.657307713,-0.238582061,0.505113281,4.46168E-05,4.46168E-05,4.46871E-05,0.000242143,-0.607846763
Gregg,41365,0.34668734,69.36540554,28.09863411,0.362625408,2.173334945,46.2,0.459,29.5,17.05,25.7,0.4,11.1,16.25,0.1,73.6,0.38,0.324,0.112,813.3,0.241,585.09,75.1,-0.083546085,-0.788786207,0.716815137,3.48252E-05,3.48252E-05,5.80732E-05,0.000185846,-0.352847446
Grimes,9528,0.364889706,74.14987406,23.02686818,0.524769102,2.298488665,26.3,0.438,22.25,22.6,23.25,1.6,12.4,17.9,0.08,57.7,0.401,0.346,0.106,494.7,0.281,316.42,80.9,-0.293708055,-0.918345123,0.582127217,-7.78373E-06,7.78373E-06,5.72434E-05,0.000223778,-0.663866784
Guadalupe,57220,0.469401148,63.7801468,31.99580566,0.71478504,3.509262496,38.7,0.395,33.55,15.65,26.85,0.3,10.35,13.25,0.08,44.4,0.24,0.299,0.085,264.4,0.207,219.32,53.7,0.743744342,0.400773179,0.446668134,-2.71764E-05,2.71764E-05,7.42578E-05,0.000240665,-0.703761172
Hale,8802,0.245153743,72.10861168,23.7446035,0.477164281,3.669620541,42.1,0.432,25.85,17.3,23.55,3.5,9,20.75,0.09,97.7,0.349,0.282,0.098,548,0.27,237.93,55.5,0.589934991,-1.127870002,0.758572183,5.76102E-05,5.76102E-05,9.87658E-05,0.000449042,-0.093270685
Hall,1089,0.319917744,81.81818182,15.05968779,0,3.122130395,55.2,0.543,33.9,16.75,20.4,9,9,11,0.1,75.2,0.348,0.287,0.118,385,0.361,236.64,,0.523898002,-1.599989117,0.925656999,3.90718E-06,3.90718E-06,0.000206803,0.000836057,0.098368963
Hamilton,3609,0.435659102,84.6771959,13.27237462,0.277085065,1.773344417,38.6,0.444,28.35,19.45,20.45,4.2,16.25,11.25,0.06,49,0.234,0.291,0.12,165.3,0.267,264.54,106.2,0.976723995,-0.093901976,0.603873874,4.21467E-05,4.21467E-05,5.10703E-05,0.000422285,-0.478100762
Hansford,1947,0.358629582,88.85464818,8.782742681,0.462249615,1.900359527,25.1,0.389,30.35,10.75,22.8,7.3,13.55,15.3,0.07,48.8,0.233,0.284,0.1,71.7,0.302,132.35,80.5,1.030593271,-0.089548788,0.716380502,4.67201E-05,4.67201E-05,7.79707E-05,0.000758672,-0.249116816
Hardeman,1511,0.36630303,79.88087359,16.47915288,0.463269358,3.176704169,49.6,0.385,31.75,21.1,19.65,1.95,11.5,14.05,0.08,63.2,0.379,0.303,0.115,263.4,0.264,252.46,,0.506304884,-0.819548095,0.594266859,2.00958E-05,2.00958E-05,6.29148E-05,0.000393617,-0.573898333
Hardin,22768,0.427817133,86.08573436,12.20572734,0.180077301,1.528460998,48.7,0.419,28,14.6,25,0.6,16.2,15.5,0.08,51.3,0.291,0.316,0.113,249.8,0.196,161.27,86.5,0.179327415,-0.073874507,0.549847304,2.966E-05,2.966E-05,4.90978E-05,0.000171394,-0.614745442
Harris,1302887,0.325630248,41.82711164,54.22350519,0.902227131,3.047156047,41.4,0.488,33.25,16.55,24.85,0.2,12.2,13,0.09,57.9,0.35,0.285,0.08,517.4,0.285,779.22,55.7,-0.159445456,-0.544796079,0.925773019,8.57475E-05,8.57475E-05,8.54178E-05,0.000309181,0.233260386
Harrison,26364,0.408244166,70.97557275,27.04445456,0.284478835,1.695493855,46.2,0.45,25.75,17.2,23.95,0.55,14.25,18.25,0.1,59,0.37,0.332,0.113,508.3,0.244,445.85,83.5,0.783545211,-0.844447664,0.490266062,-1.4469E-06,1.4469E-06,4.9082E-05,0.000202272,-0.832681251
Hartley,1945,0.348878924,88.79177378,8.843187661,0.154241645,2.210796915,32.4,0.437,44.2,13,20.3,5.5,6.95,9.95,0.06,40.6,0.137,0.315,0.102,,0.237,207.12,,-0.952032799,0.442830928,0.799774406,1.43066E-05,1.43066E-05,0.000133317,0.000533231,-0.178265247
Haskell,1765,0.318477084,79.49008499,17.79036827,0.339943343,2.379603399,40.4,0.476,26.75,19.2,23.05,4.05,14.75,12.25,0.09,64.5,0.378,0.284,0.115,267.2,0.269,128.96,82.1,1.210507669,-0.914668332,0.531334742,5.16566E-06,5.16566E-06,6.15097E-05,0.000238721,-0.732976435
Hays,71524,0.479258103,47.15899558,46.30194061,1.475029361,5.06403445,34.4,0.459,37.5,17.15,27.35,0.25,9.55,8.2,0.08,28.4,0.246,0.303,0.078,698,0.225,210.68,48.2,0.165607681,0.431814671,0.730027689,1.00384E-05,1.00384E-05,0.000135399,0.000625225,-0.285045348
Hemphill,1687,0.470571827,86.54416123,10.72910492,0.118553646,2.608180202,43.3,0.429,31.3,11.9,18.55,1.1,15.85,21.4,0.07,57.6,0.254,0.303,0.096,302.3,0.249,429.07,,0.453170084,-0.328741868,0.716065799,5.52963E-05,5.52963E-05,5.67078E-05,0.000337993,-0.254680359
Henderson,29855,0.379578656,78.96164797,18.92145369,0.338301792,1.77859655,34.3,0.46,25.6,18.45,24.95,1.3,14.75,14.95,0.07,66.2,0.308,0.276,0.109,268.9,0.285,428.58,84.3,0.177190958,-0.661050482,0.627708293,3.19155E-05,3.19155E-05,5.55023E-05,0.000154091,-0.488373581
Hidalgo,172990,0.234171209,28.09873403,68.6392277,1.072316319,2.189721949,38.6,0.491,26.25,23.35,26,1.85,11.8,10.7,0.08,83,0.328,0.311,0.096,420.4,0.389,337.58,31.4,-0.46212291,-1.752802944,1.549141712,0.000199219,0.000199219,0.000412369,0.001596287,2.343498786
Hill,12906,0.366814461,78.06446614,19.64202696,0.309933364,1.983573532,31.3,0.437,25.25,17.55,20.95,1.8,16.75,17.65,0.08,64.2,0.308,0.335,0.114,443.6,0.28,108.46,74,0.11900352,-1.01766952,0.709689328,3.72066E-05,3.72066E-05,9.37808E-05,0.000307617,-0.26959413
Hockley,7282,0.321543692,79.55232079,17.26174128,0.453172205,2.732765724,35.5,0.433,28.95,16.55,23.9,2.95,16,11.6,0.1,70.3,0.284,0.291,0.094,615.9,0.257,404.19,68.9,0.414858952,-0.675843049,0.784368235,6.04113E-05,6.04113E-05,7.03862E-05,0.000245162,-0.109974459
Hood,26120,0.519583856,81.80321593,15.31776417,0.432618683,2.446401225,38.6,0.446,32.9,15.9,24.25,0.8,14.5,11.7,0.07,53.7,0.244,0.286,0.109,255.5,0.237,175.26,72.7,0.784773869,-0.068481481,0.623333665,3.77444E-05,3.77444E-05,5.30764E-05,0.000234919,-0.470398038
Hopkins,13476,0.390472879,79.43009795,18.61086376,0.326506382,1.632531909,25.4,0.433,27.65,17,21.2,3.55,9.85,20.75,0.08,57.5,0.238,0.325,0.113,296.9,0.289,183.62,83.4,0.827659697,-0.577891416,0.541011394,2.83646E-05,2.83646E-05,4.09909E-05,0.000233832,-0.650929588
Houston,8302,0.358277231,74.74102626,23.8255842,0.349313418,1.084076126,48.1,0.493,22.6,24.95,22.9,1.9,11.7,15.9,0.1,64.1,0.41,0.298,0.125,238.5,0.288,192.54,81.2,-0.452257014,-1.491483824,0.623315636,-6.83446E-05,6.83446E-05,0.000168304,0.00052894,-0.057615535
Howard,8692,0.258167993,76.33456052,20.34054303,0.644270594,2.680625863,38.4,0.437,27.05,21.5,21.95,0.65,15.75,13.15,0.1,86.1,0.455,0.323,0.106,566.6,0.231,576.37,71.7,-0.205023736,-1.370339525,0.665762016,-2.25897E-05,2.25897E-05,0.000130908,0.000325203,-0.315590833
Hudspeth,871,0.262191451,57.74971297,37.19862227,0.688863375,4.362801378,40.6,0.498,26.7,18.3,18.35,7.4,15.15,14.1,0.1,75.3,0.389,0.287,0.107,555.1,0.375,128.17,,-1.815153794,-2.779803364,1.510342111,2.51375E-05,2.51375E-05,0.000534314,0.001453102,1.699280995
Hunt,31185,0.370517786,76.5303832,20.20522687,0.51627385,2.748116081,41.9,0.453,28.8,15.5,26.1,0.7,13.15,15.65,0.08,56.9,0.329,0.324,0.111,389.5,0.26,411.76,75.7,0.067823713,-0.732563475,0.452778569,1.67248E-05,1.67248E-05,3.5664E-05,0.00016058,-0.835136376
Hutchinson,8126,0.370796258,86.62318484,10.50947576,0.283042087,2.584297317,51.1,0.419,25.25,16.75,25.15,0.8,16.4,15.7,0.1,67.9,0.346,0.327,0.108,271.1,0.244,896.16,82.4,0.11079558,-0.842481534,0.710660617,2.87E-05,2.87E-05,7.56281E-05,0.000310792,-0.351776
Irion,760,0.463980464,86.84210526,11.84210526,0.131578947,1.184210526,34,0.489,25.5,17.9,20.8,8.5,12.45,14.85,,38.5,0.12,0.291,0.113,246.9,0.254,81.2,,1.472385532,0.53709976,1.012332633,8.68584E-05,8.68584E-05,0.000232269,0.000803371,0.682081409
Jack,3339,0.376564791,89.03863432,9.404013178,0.299490866,1.257861635,39.4,0.421,25.6,16.9,24.45,0.45,16.9,15.65,0.1,59.5,0.294,0.285,0.097,132.8,0.258,125.54,92.6,0.669188307,-0.770860648,0.744500914,4.79496E-05,4.79496E-05,8.72804E-05,0.00031687,-0.185616173
Jackson,5275,0.374166548,80.87203791,17.13744076,0.511848341,1.478672986,45,0.457,30.9,15.05,19.4,5.25,13.6,15.85,0.07,69.1,0.331,0.317,0.11,277.9,0.241,237.21,77.2,0.59028373,-0.248647828,0.64413259,4.73067E-05,4.73067E-05,6.06697E-05,0.000327619,-0.378628603
Jasper,13351,0.380695751,79.23002022,19.33937533,0.277132799,1.15347165,46.5,0.441,26.75,16.8,23.45,2.4,14.9,15.7,0.11,66.1,0.336,0.303,0.121,349.9,0.249,291.22,86.3,-0.428084153,-0.928652868,0.457608649,4.59764E-06,4.59764E-06,4.35332E-05,0.000267262,-0.871688789
Jeff Davis,1175,0.518306131,59.06382979,35.91489362,1.446808511,3.574468085,0,0.407,38.25,18.5,19.5,7.1,8.15,8.5,,38.4,0.404,0.261,0.125,,0.305,199.57,,-0.161609949,-0.354073086,1.116883184,0.000118605,0.000118605,0.00012639,0.000515483,0.736844197
Jefferson,87363,0.353018903,49.02304179,48.53771047,0.480752721,1.958495015,46.7,0.468,30,18.5,24.55,0.35,12.25,14.35,0.1,55.4,0.447,0.355,0.128,552.2,0.241,637.4,75.4,-0.491903106,-1.072764616,0.595100591,-2.20631E-05,2.20631E-05,8.78707E-05,0.000236688,-0.506684037
Jim Hogg,2119,0.412577882,20.29259084,77.15903728,0.566304861,1.982067013,14.1,0.427,18.15,29.8,14.4,3.15,16.35,18.2,0.11,115.6,0.51,0.295,0.102,455.8,0.28,165.54,,-0.770586223,-1.629654295,1.30610016,1.30614E-05,1.30614E-05,0.000329387,0.000893035,0.912521457
Jim Wells,12346,0.302175882,43.82796047,54.17139154,0.323991576,1.676656407,52.8,0.452,25.55,19.35,27.2,1.6,13.65,12.7,0.11,86.4,0.427,0.302,0.094,614.4,0.228,661.34,62,-0.919056268,-1.326337033,0.81226584,2.21975E-05,2.21975E-05,0.000172205,0.000523238,-0.034964384
Johnson,57270,0.38051892,77.47511786,19.16535708,0.562248996,2.797276061,29.9,0.405,28.4,15.25,24.75,0.45,13.45,17.7,0.08,58.2,0.271,0.326,0.127,329.3,0.261,250,63.7,0.36422953,-0.226276318,0.688749061,4.81956E-05,4.81956E-05,5.99869E-05,0.000315559,-0.318051229
Jones,5932,0.300933442,81.16992583,15.76196898,0.354012138,2.714093055,32.3,0.412,26.4,20.8,20.35,2.15,15.95,14.35,0.08,68.8,0.251,0.311,0.099,193.6,0.264,315.61,61.5,0.572850767,-0.749184993,0.957247077,6.22534E-05,6.22534E-05,8.16815E-05,0.000282359,0.148206929
Karnes,4185,0.280082988,70.70489845,27.33572282,0.286738351,1.672640382,19.9,0.441,29.05,21.8,20.15,2.6,12.55,13.85,0.1,79.5,0.36,0.285,0.096,240.9,0.218,206.74,65.9,0.637298171,-1.292691769,1.070645576,6.91142E-05,6.91142E-05,0.000178846,0.00090605,0.548317183
Kaufman,40979,0.411142659,72.07838161,25.04941555,0.480734035,2.391468801,34.4,0.394,31.55,14.95,27.8,0.3,11.7,13.75,0.08,52.5,0.286,0.372,0.101,318,0.24,338.65,61.2,0.507025181,-0.172859485,0.73519771,6.28092E-05,6.28092E-05,6.74581E-05,0.000399772,-0.168175166
Kendall,19936,0.616221563,78.56641252,18.22331461,0.431380417,2.778892456,45.6,0.477,43.25,15.15,22.2,0.9,11.7,6.75,0.08,25.6,0.184,0.242,0.102,253,0.201,109.23,70.6,1.255133121,0.908879554,0.63748904,-7.03128E-05,7.03128E-05,0.000201671,0.000875282,0.045828239
Kenedy,186,0.494680851,45.16129032,53.22580645,0,1.612903226,,0.417,24.5,4.5,16.75,29.25,23.7,1.3,,,0,0.295,0.101,,0.211,652.53,,0.151426088,,,,,,,
Kent,433,0.573509934,83.1408776,13.62586605,0,3.233256351,0,0.377,40.45,12.7,17.1,4.2,7.85,17.7,,,0.221,0.292,0.123,,0.2,558.42,,2.494805049,0.593111064,1.004764014,1.87112E-05,1.87112E-05,0.000241048,0.001060499,0.351832914
Kerr,23090,0.475915658,76.47466436,20.20355132,0.493720225,2.828064097,34.7,0.451,32.05,21.95,24.45,0.65,9.85,10.95,0.11,62.5,0.337,0.278,0.122,245.1,0.267,188.42,86,1.090615725,-0.446756136,0.767487019,5.57328E-05,5.57328E-05,4.90107E-05,0.000202588,-0.203392905
Kimble,1945,0.427848658,87.24935733,10.59125964,0.257069409,1.902313625,0,0.447,27.05,21,19.25,6.25,16.1,10.4,0.1,55.9,0.303,0.277,0.118,151.1,0.33,312.91,91.9,1.68997943,-1.032905641,0.914183685,6.15742E-05,6.15742E-05,0.000181397,0.000721644,0.314153808
King,159,0.613899614,93.71069182,3.144654088,0,3.144654088,,0.415,57.65,10.25,11.65,6.35,5.85,8.25,,,0,0.283,0.103,,0.167,117.37,,0.570879776,,,,,,,
Kinney,1424,0.416252558,65.73033708,32.09269663,0.421348315,1.755617978,29.5,0.452,17.55,30.8,19.95,9.35,12.75,9.6,,69.8,0.33,0.294,0.115,,0.265,76.25,,-0.932250405,-1.582192565,0.912618185,-3.62371E-05,3.62371E-05,0.000289449,0.000696441,0.429435505
Kleberg,9483,0.302497687,46.01919224,49.6994622,0.970157123,3.311188442,49.2,0.493,32.4,22.15,22.15,1.2,11.75,10.35,0.09,58.3,0.442,0.301,0.083,639.8,0.247,796.99,46.2,-0.461597561,-1.023300283,0.966182055,6.8813E-05,6.8813E-05,0.000164212,0.000536398,0.378742767
Knox,1358,0.378062361,79.3814433,18.18851252,0.368188513,2.06185567,29.4,0.442,34.15,19.8,17.05,7.75,12.85,8.45,0.1,68.6,0.377,0.278,0.116,266.1,0.335,120.05,,0.24401712,-0.943109604,0.811436039,4.35512E-05,4.35512E-05,0.000103009,0.000440387,-0.085553501
La Salle,2049,0.320757671,42.45973646,54.90483163,0.488042948,2.14738897,34.3,0.464,19.4,26.45,16.9,4,23.35,9.85,0.1,81.8,0.565,0.289,0.086,185.7,0.28,146.59,80.5,-1.337367483,-1.62447832,1.277374231,5.04229E-05,5.04229E-05,0.000290134,0.000885653,0.973366434
La Vaca,8633,0.455639415,85.01100429,13.55264682,0.139001506,1.297347388,40.1,0.444,28.8,13.4,22.2,0.9,13.5,21.15,0.08,49.3,0.281,0.292,0.123,144.7,0.243,93.84,52,0.647257269,-0.172849874,0.664032237,4.27848E-05,4.27848E-05,5.56251E-05,0.000245399,-0.38686433
Lamar,18537,0.375296095,78.47008685,19.30733128,0.372228516,1.850353347,45.9,0.448,28.95,18.15,24,0.7,10.7,17.55,0.1,66.9,0.34,0.276,0.124,495.3,0.246,413.87,69.9,0.250741905,-0.76306026,0.504959505,2.00065E-05,2.00065E-05,4.36347E-05,0.000294763,-0.733305118
Lamb,3905,0.281766361,77.84891165,19.71830986,0.204865557,2.227912932,57.7,0.42,23.8,18.3,23.5,8.3,8.65,17.4,0.1,97.5,0.376,0.298,0.098,409.4,0.299,350.87,92.3,0.306718852,-1.320425577,0.612745551,7.5348E-06,7.5348E-06,0.000104619,0.000379411,-0.518623004
Lampasas,8149,0.405947992,78.18137195,18.14946619,0.576757884,3.092403976,26.5,0.435,24.55,19.2,25.4,1.3,15.75,13.85,0.06,54.2,0.298,0.29,0.102,407.2,0.273,121.09,63,0.517522063,-0.120601813,0.638932698,4.11188E-05,4.11188E-05,5.52047E-05,0.000446218,-0.428580151
Lee,6522,0.397513257,76.60226924,21.03649187,0.429316161,1.931922723,26.6,0.422,27.45,12.7,27.1,1.3,14.55,16.9,0.08,41.5,0.296,0.329,0.112,234,0.264,345.52,69.1,-0.196707701,-0.146605962,0.571016891,3.04247E-05,3.04247E-05,5.04836E-05,0.000375945,-0.580431851
Leon,7407,0.444624527,86.28324558,12.27217497,0.175509653,1.269069799,21.1,0.454,22.7,21.7,17.85,2.85,21.8,13.15,0.08,64.6,0.413,0.294,0.131,266,0.287,143.13,104.5,0.484890624,-0.868522523,0.780157826,2.26279E-05,2.26279E-05,7.87584E-05,0.000290088,-0.285186715
Liberty,24155,0.320817617,78.06251294,20.08279859,0.347754088,1.506934382,37.9,0.413,23.5,15.8,22.45,0.6,19.6,18,0.08,67.7,0.286,0.319,0.095,304.4,0.273,401.59,98.3,-0.862896816,-0.859226492,0.875508318,4.72431E-05,4.72431E-05,7.09613E-05,0.000387216,-0.056603827
Limestone,7648,0.334338798,75.14382845,22.85564854,0.353033473,1.64748954,29.8,0.411,29.45,19,22.35,1.15,13.95,14.05,0.1,70.5,0.304,0.297,0.11,579.7,0.251,541.08,104.5,0.215742407,-1.473144098,0.820113833,-1.52003E-05,1.52003E-05,0.000180314,0.00046882,-0.041457458
Lipscomb,1322,0.419949174,87.67019667,10.2118003,0.226928896,1.89107413,32.4,0.429,32.4,14.75,14.4,7.25,15.8,15.45,0.08,69.5,0.276,0.296,0.102,120.2,0.309,20.72,,0.828172871,-0.47375136,0.930193754,7.87283E-05,7.87283E-05,7.84625E-05,0.000466346,0.188232268
Live Oak,4267,0.374265415,80.85305835,17.31895946,0.304663698,1.523318491,27.1,0.429,28.9,21.4,23.25,1.35,12.65,12.4,0.07,48.9,0.204,0.295,0.117,314.5,0.228,98.68,73,1.386693956,-0.337861152,0.630333124,4.23794E-05,4.23794E-05,3.97933E-05,0.000159727,-0.468179179
Llano,10377,0.554178905,79.82075744,17.58697119,0.616748579,1.975522791,37.2,0.48,33.1,15.95,28.65,0.5,11.4,10.35,0.08,70,0.417,0.252,0.126,229.4,0.243,97.26,102.2,1.399363042,-0.285084417,0.873756258,6.97882E-05,6.97882E-05,6.26427E-05,0.000314547,0.034933039
Loving,64,0.790123457,89.0625,6.25,3.125,1.5625,,0.207,58.9,0,5.4,0,12.4,23.3,,,,0.299,0.11,,0.21,0,,,,,,,,,
Lubbock,98060,0.361967901,66.86314501,28.50907608,0.642463798,3.985315113,39.4,0.48,31.65,19.2,28.6,0.95,8.85,10.75,0.1,55.4,0.367,0.282,0.083,685.8,0.234,782.82,63.3,0.284497967,-0.500823532,0.847787177,6.46964E-05,6.46964E-05,6.80278E-05,0.000312558,-0.011912454
Lynn,1997,0.339741409,77.41612419,20.18027041,0.350525789,2.053079619,31.3,0.397,24.2,23.15,22.8,9.8,9,11.05,0.1,58.4,0.319,0.303,0.114,288.7,0.263,84.89,90.1,-0.196641669,-0.761980691,0.627596071,2.55277E-05,2.55277E-05,5.62937E-05,0.000253101,-0.518628764
Madison,4283,0.318841659,78.19285548,20.56969414,0.186784964,1.050665421,19.8,0.454,23.65,21.5,24.9,6.65,14.15,9.15,0.07,61,0.421,0.313,0.103,305.5,0.31,333.62,96.9,0.55200403,-1.025499072,0.637723842,-2.63168E-06,2.63168E-06,0.00010388,0.000400677,-0.512482744
Marion,4206,0.398370904,70.5658583,27.48454589,0.309082263,1.640513552,7.9,0.487,19.1,18.8,23.95,1.95,14.45,21.75,0.09,59.3,0.353,0.317,0.133,323.6,0.26,439.89,92.8,-0.441327123,-1.465111295,0.70789905,-8.57823E-05,8.57823E-05,0.000184095,0.000955001,0.174434795
Martin,1755,0.379623621,82.79202279,15.15669516,0.284900285,1.766381766,45.8,0.422,35.5,15.5,18.1,6.4,14.75,9.75,0.08,69.9,0.246,0.297,0.098,304,0.272,140.89,,-0.16565075,-0.24552841,0.879139612,9.73372E-05,9.73372E-05,0.000148353,0.000579804,0.372857589
Mason,2053,0.519615287,80.6624452,17.19434973,0.340964442,1.802240623,33.7,0.471,38.15,13.15,30.8,5.15,9.4,3.3,0.09,32,0.271,0.274,0.119,175.7,0.271,74.94,,1.300417223,-0.204608983,0.957509524,6.51065E-05,6.51065E-05,7.78993E-05,0.000371276,0.154258126
Matagorda,11779,0.319603853,69.16546396,28.49987265,0.415994567,1.918668817,34,0.469,26.15,18.4,20.5,2.85,15.3,16.85,0.09,67.6,0.317,0.302,0.113,277.1,0.278,288.14,69.3,0.164669418,-1.086156792,0.485546793,-1.0856E-05,1.0856E-05,8.25583E-05,0.000199485,-0.716261129
Maverick,13588,0.25745088,20.72416838,76.51604357,0.802178393,1.957609656,60.6,0.473,22.15,24.25,25.6,1.1,10.55,16.4,0.08,78.3,0.341,0.303,0.09,386.2,0.351,262.65,34.3,-0.418742056,-1.718816412,1.717811469,0.000279174,0.000279174,0.000509848,0.001789324,3.180751014
McCulloch,3086,0.381552918,82.50162022,15.55411536,0.291639663,1.652624757,52.4,0.494,29.95,22.75,20.55,2.35,7.95,16.45,0.09,84.2,0.253,0.294,0.114,301.6,0.277,218.92,87.5,0.180528987,-1.139634602,0.789570739,3.30005E-05,3.30005E-05,0.000129967,0.000393085,-0.105671709
McLennan,78255,0.337834629,61.65101271,34.56136988,0.604434221,3.183183183,40.3,0.464,30.65,17.9,26.6,0.4,10.05,14.35,0.08,51.3,0.377,0.304,0.097,661.9,0.245,518.19,58.7,0.213992824,-0.850407714,0.63020443,1.82721E-05,1.82721E-05,7.06232E-05,0.000248872,-0.51915103
McMullen,497,0.604622871,91.34808853,8.048289738,0.201207243,0.402414487,0,0.463,31.3,20.1,8.1,8.55,23.35,8.6,,,0.261,0.296,0.121,,0.245,132.39,,0.167454506,0.102800167,1.206843036,0.000118887,0.000118887,0.000250358,0.001359801,1.134287372
Medina,17187,0.383381664,70.13440391,26.90405539,0.616745214,2.344795485,39.6,0.422,32.95,16.55,23.8,1.45,13.25,12,0.09,52.2,0.289,0.282,0.097,310.6,0.254,210.16,61.3,-0.045022605,-0.139978885,0.579770559,3.544E-05,3.544E-05,4.65527E-05,0.000298556,-0.552943397
Menard,860,0.393232739,79.18604651,17.79069767,0.11627907,2.906976744,60,0.506,27.85,26.85,18.45,0.85,15.55,10.55,,51.8,0.383,0.291,0.121,265,0.343,195.55,,0.383540399,-1.067888641,0.796457098,2.47082E-06,2.47082E-06,0.000101558,0.000319245,-0.313315988
Midland,48753,0.370522652,75.67944537,20.49720017,0.416384633,3.406969828,45.8,0.503,31.7,16.1,26.9,0.4,14.1,10.75,0.08,70.4,0.303,0.281,0.081,579.4,0.237,323.1,57.5,0.336027001,-0.052960168,0.758586589,6.37267E-05,6.37267E-05,8.4318E-05,0.00051675,-0.095312884
Milam,8607,0.347504845,73.66097363,23.7248751,0.569304055,2.044847217,32.5,0.462,26.75,16.65,23.35,2.65,13.2,17.4,0.08,65.6,0.359,0.312,0.12,498,0.249,154.61,80.2,-0.071818141,-0.921073776,0.436303664,-7.29936E-06,7.29936E-06,4.53508E-05,0.000157923,-0.881639971
Mills,2238,0.450392433,87.08668454,10.81322609,0.268096515,1.831992851,7.5,0.454,32.6,19.75,20.85,6.5,9.5,10.8,,44.6,0.25,0.304,0.12,247.5,0.311,180.42,98.3,1.794344496,-0.491046324,0.717797811,4.41576E-05,4.41576E-05,4.66779E-05,0.00045442,-0.330691878
Mitchell,2190,0.234500482,81.27853881,16.11872146,0.319634703,2.283105023,34.7,0.398,28.75,19.5,25.4,0.8,13.9,11.6,0.08,80.4,0.33,0.292,0.095,191,0.222,216.31,81.4,0.121709575,-0.854361545,0.824916279,5.41863E-05,5.41863E-05,7.4476E-05,0.000248011,-0.079408259
Montague,8604,0.438130156,87.47094375,10.28591353,0.267317527,1.975825198,40.1,0.438,26.15,18,22.85,0.85,15.95,16.15,0.07,63.6,0.307,0.283,0.108,172.5,0.272,173.23,113.2,0.553415471,-0.468677796,0.529446392,3.48321E-05,3.48321E-05,3.51405E-05,0.000230026,-0.646788437
Montgomery,203083,0.468217994,73.9539991,22.52478051,0.49979565,3.021424738,45.6,0.46,36.5,14.5,25.9,0.25,11.5,11.35,0.08,41.2,0.252,0.289,0.089,191.4,0.219,260.31,62.2,0.888689904,0.338843021,0.517756665,-1.3118E-05,1.3118E-05,7.97754E-05,0.000290331,-0.669605336
